"tanggal","pm10","no2"
"2024-06-22",63,41
"2024-06-23",63,35
"2024-06-24",57,40
"2024-06-25",58,34
"2024-06-26",51,29
"2024-06-27",56,32
"2024-06-28",53,33
"2024-06-29",52,34
"2024-06-30",41,33
"2024-07-01",62,41
"2024-07-02",55,38
"2024-07-03",69,51
"2024-07-04",58,52
"2024-07-05",53,41
"2024-07-06",30,24
"2024-07-07",24,26
"2024-07-08",31,30
"2024-07-09",43,49
"2024-07-10",55,37
"2024-07-11",64,50
"2024-07-12",60,43
"2024-07-13",66,50
"2024-07-14",59,41
"2024-07-15",58,40
"2024-07-16",58,49
"2024-07-17",59,45
"2024-07-18",63,40
"2024-07-19",58,38
"2024-07-20",60,38
"2024-07-21",59,35
"2024-07-22",59,38
"2024-07-23",63,41
"2024-07-24",75,44
"2024-07-25",61,43
"2024-07-26",59,42
"2024-07-27",64,37
"2024-07-28",64,33
"2024-07-29",63,33
"2024-07-30",63,44
"2024-07-31",69,49
"2024-08-01",68,44
"2024-08-02",60,44
"2024-08-03",47,45
"2024-08-04",50,39
"2024-08-05",53,37
"2024-08-06",53,42
"2024-08-07",62,42
"2024-08-08",64,42
"2024-08-09",61,33
"2024-08-10",55,35
"2024-08-11",56,28
"2024-08-12",54,30
"2024-08-13",62,44
"2024-08-14",62,43
"2024-08-15",63,38
"2024-08-16",64,48
"2024-08-17",65,44
"2024-08-18",62,32
"2024-08-19",60,38
"2024-08-20",64,46
"2024-08-21",67,47
"2024-08-22",63,40
"2024-08-23",56,32
"2024-08-24",62,43
"2024-08-25",66,37
"2024-08-26",55,39
"2024-08-27",69,50
"2024-08-28",62,41
"2024-08-29",65,42
"2024-08-30",68,46
"2024-08-31",56,40
"2024-09-01",54,32
"2024-09-02",52,36
"2024-09-03",55,44
"2024-09-04",58,35
"2024-09-05",52,33
"2024-09-06",56,40
"2024-09-07",54,26
"2024-09-08",54,26
"2024-09-09",48,26
"2024-09-10",51,43
"2024-09-11",39,33
"2024-09-12",64,39
"2024-09-13",53,44
"2024-09-14",57,41
"2024-09-15",60,35
"2024-09-16",60,33
"2024-09-17",55,37
"2024-09-18",52,34
"2024-09-19",61,46
"2024-09-20",59,45
"2024-09-21",61,39
"2024-09-22",66,33
"2024-09-23",59,37
"2024-09-24",56,31
"2024-09-25",62,51
"2024-09-26",57,48
"2024-09-27",51,41
"2024-09-28",56,37
"2024-09-29",60,39
"2024-09-30",51,40
"2024-10-01",63,46
"2024-10-02",61,52
"2024-10-03",61,44
"2024-10-04",59,40
"2024-10-05",56,46
"2024-10-06",52,40
"2024-10-07",72,48
"2024-10-08",55,40
"2024-10-09",55,41
"2024-10-10",60,43
"2024-10-11",60,47
"2024-10-12",58,34
"2024-10-13",63,33
"2024-10-14",61,37
"2024-10-15",53,40
"2024-10-16",69,48
"2024-10-17",59,44
"2024-10-18",55,40
"2024-10-19",65,37
"2024-10-20",61,34
"2024-10-21",51,32
"2024-10-22",64,51
"2024-10-23",57,38
"2024-10-24",52,35
"2024-10-25",52,45
"2024-10-26",57,40
"2024-10-27",54,31
"2024-10-28",60,36
"2024-10-29",59,41
"2024-10-30",62,44
"2024-10-31",59,45
"2024-11-01",62,47
"2024-11-02",60,41
"2024-11-03",51,43
"2024-11-04",44,37
"2024-11-05",40,45
"2024-11-06",40,39
"2024-11-07",55,40
"2024-11-08",57,44
"2024-11-09",67,46
"2024-11-10",54,41
"2024-11-11",51,42
"2024-11-12",39,36
"2024-11-13",53,33
"2024-11-14",61,34
"2024-11-15",69,49
"2024-11-16",76,40
"2024-11-17",76,47
"2024-11-18",52,32
"2024-11-19",38,36
"2024-11-20",44,40
"2024-11-21",46,36
"2024-11-22",32,31
"2024-11-23",34,29
"2024-11-24",40,22
"2024-11-25",31,27
"2024-11-26",40,29
"2024-11-27",50,27
"2024-11-28",30,24
"2024-11-29",29,21
"2024-11-30",27,16
"2024-12-01",32,40
"2024-12-02",19,33
"2024-12-03",19,15
"2024-12-04",30,22
"2024-12-05",17,13
"2024-12-06",26,17
"2024-12-07",66,98
"2024-12-08",38,57
"2024-12-09",42,29
"2024-12-10",38,61
"2024-12-11",14,15
"2024-12-12",19,10
"2024-12-13",21,14
"2024-12-14",22,15
"2024-12-15",18,21
"2024-12-16",27,21
"2024-12-17",27,30
"2024-12-18",50,59
"2024-12-19",18,27
"2024-12-20",25,32
"2024-12-21",23,30
"2024-12-22",53,31
"2024-12-23",52,45
"2024-12-24",38,33
"2024-12-25",52,52
"2024-12-26",39,35
"2024-12-27",53,36
"2024-12-28",64,35
"2024-12-29",51,35
"2024-12-30",35,13
"2024-12-31",29,18
"2025-01-01",46,16
"2025-01-02",30,18
"2025-01-03",43,24
"2025-01-04",37,17
"2025-01-05",26,11
"2025-01-06",47,21
"2025-01-07",33,19
"2025-01-08",30,19
"2025-01-09",20,19
"2025-01-10",39,25
"2025-01-11",41,27
"2025-01-12",45,25
"2025-01-13",28,18
"2025-01-14",32,13
"2025-01-15",34,23
"2025-01-16",40,25
"2025-01-17",33,25
"2025-01-18",24,21
"2025-01-19",29,20
"2025-01-20",25,22
"2025-01-21",32,31
"2025-01-22",31,29
"2025-01-23",38,33
"2025-01-24",52,38
"2025-01-25",39,24
"2025-01-26",42,28
"2025-01-27",35,19
"2025-01-28",31,17
"2025-01-29",25,25
"2025-01-30",25,21
"2025-01-31",37,31
"2025-02-01",41,27
"2025-02-02",41,20
"2025-02-03",38,24
"2025-02-04",54,40
"2025-02-05",40,26
"2025-02-06",41,31
"2025-02-07",35,29
"2025-02-08",33,34
"2025-02-09",38,25
"2025-02-10",31,26
"2025-02-11",36,35
"2025-02-12",54,43
"2025-02-13",56,39
"2025-02-14",44,30
"2025-02-15",34,19
"2025-02-16",42,26
